LGA_CODE_2014,LGA_NAME_2014,LGA_CODE_2019,LGA_NAME_2019,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
36510,Scenic Rim (R),33960,Ipswich (C),0.0001074,Good,Good,1
36510,Scenic Rim (R),36510,Scenic Rim (R),0.9998926,Good,Good,0
36580,Somerset (R),36580,Somerset (R),1,Good,Good,0
36630,South Burnett (R),36630,South Burnett (R),1,Good,Good,0
36660,Southern Downs (R),36660,Southern Downs (R),1,Good,Good,0
36720,Sunshine Coast (R),36720,Sunshine Coast (R),1,Good,Good,0
36720,Sunshine Coast (R),,,0,NA,Good,4
36820,Tablelands (R),32310,Charters Towers (R),0.0001736,Good,Good,1
36820,Tablelands (R),34880,Mareeba (S),0.0001736,Good,Good,1
36820,Tablelands (R),36820,Tablelands (R),0.9996527,Good,Good,0
36910,Toowoomba (R),36910,Toowoomba (R),1,Good,Good,0
36950,Torres (S),36950,Torres (S),0.9999951,Good,Good,0
36950,Torres (S),,,4.90E-06,NA,Good,4
36960,Torres Strait Island (R),36960,Torres Strait Island (R),1,Good,Good,0
37010,Townsville (C),37010,Townsville (C),1,Good,Good,0
37300,Weipa (T),37300,Weipa (T),1,Good,Good,0
37310,Western Downs (R),34860,Maranoa (R),0,Good,Good,1
37310,Western Downs (R),37310,Western Downs (R),1,Good,Good,0
37340,Whitsunday (R),37340,Whitsunday (R),1,Good,Good,0
37400,Winton (S),37400,Winton (S),1,Good,Good,0
37550,Woorabinda (S),37550,Woorabinda (S),1,Good,Good,0
37570,Wujal Wujal (S),37570,Wujal Wujal (S),1,Good,Good,0
37600,Yarrabah (S),37600,Yarrabah (S),1,Good,Good,0
39399,Unincorporated Qld,39399,Unincorporated Qld,1,Good,Good,0
40070,Adelaide (C),40070,Adelaide (C),1,Good,Good,0
40120,Adelaide Hills (DC),40120,Adelaide Hills (DC),1,Good,Good,0
40220,Alexandrina (DC),40220,Alexandrina (DC),1,Good,Good,0
40250,Anangu Pitjantjatjara (AC),40250,Anangu Pitjantjatjara (AC),1,Good,Good,0
40310,Barossa (DC),40310,Barossa (DC),1,Good,Good,0
40430,Barunga West (DC),40430,Barunga West (DC),1,Good,Good,0
40520,Berri and Barmera (DC),40520,Berri and Barmera (DC),0.9986768,Good,Good,0
40520,Berri and Barmera (DC),49399,Unincorporated SA,0.0013232,Good,Good,1
40700,Burnside (C),40700,Burnside (C),1,Good,Good,0
40910,Campbelltown (C),40910,Campbelltown (C) (SA),1,Good,Good,0
41010,Ceduna (DC),41010,Ceduna (DC),1,Good,Good,0
41060,Charles Sturt (C),41060,Charles Sturt (C),1,Good,Good,0
41140,Clare and Gilbert Valleys (DC),41140,Clare and Gilbert Valleys (DC),1,Good,Good,0
41190,Cleve (DC),41190,Cleve (DC),1,Good,Good,0
41330,Coober Pedy (DC),41330,Coober Pedy (DC),1,Good,Good,0
41560,Copper Coast (DC),41560,Copper Coast (DC),1,Good,Good,0
41750,Elliston (DC),41750,Elliston (DC),1,Good,Good,0
41830,Flinders Ranges (DC),41830,Flinders Ranges (DC),0.9975387,Good,Good,0
41830,Flinders Ranges (DC),49399,Unincorporated SA,0.0024613,Good,Good,1
41960,Franklin Harbour (DC),41960,Franklin Harbour (DC),1,Good,Good,0
42030,Gawler (T),42030,Gawler (T),0.9998566,Good,Good,0
42030,Gawler (T),43650,Light (RegC),0.0001434,Good,Good,1
42110,Goyder (DC),42110,Goyder (DC),1,Good,Good,0
42250,Grant (DC),42250,Grant (DC),0.9999999,Good,Good,0
42250,Grant (DC),,,1.00E-07,NA,Good,4
42600,Holdfast Bay (C),42600,Holdfast Bay (C),1,Good,Good,0
42750,Kangaroo Island (DC),42750,Kangaroo Island (DC),1,Good,Good,0
43080,Karoonda East Murray (DC),43080,Karoonda East Murray (DC),1,Good,Good,0
43220,Kimba (DC),43220,Kimba (DC),1,Good,Good,0
43360,Kingston (DC),43360,Kingston (DC) (SA),1,Good,Good,0
43650,Light (RegC),43650,Light (RegC),1,Good,Good,0
43710,Lower Eyre Peninsula (DC),43710,Lower Eyre Peninsula (DC),0.9998363,Good,Good,0
43710,Lower Eyre Peninsula (DC),47910,Tumby Bay (DC),0.0001637,Good,Good,1
43790,Loxton Waikerie (DC),43790,Loxton Waikerie (DC),0.9999062,Good,Good,0
43790,Loxton Waikerie (DC),49399,Unincorporated SA,9.38E-05,Good,Good,1
43920,Mallala (DC),40150,Adelaide Plains (DC),1,Good,Good,0
44000,Maralinga Tjarutja (AC),44000,Maralinga Tjarutja (AC),1,Good,Good,0
44060,Marion (C),44060,Marion (C),1,Good,Good,0
44210,Mid Murray (DC),44210,Mid Murray (DC),1,Good,Good,0
44340,Mitcham (C),44340,Mitcham (C),1,Good,Good,0
44550,Mount Barker (DC),44550,Mount Barker (DC),1,Good,Good,0
44620,Mount Gambier (C),44620,Mount Gambier (C),1,Good,Good,0
44830,Mount Remarkable (DC),44830,Mount Remarkable (DC),1,Good,Good,0
45040,Murray Bridge (RC),45040,Murray Bridge (RC),1,Good,Good,0
45090,Naracoorte and Lucindale (DC),45090,Naracoorte and Lucindale (DC),1,Good,Good,0
45120,Northern Areas (DC),45120,Northern Areas (DC),1,Good,Good,0
45290,Norwood Payneham St Peters (C),45290,Norwood Payneham St Peters (C),1,Good,Good,0
45340,Onkaparinga (C),45340,Onkaparinga (C),1,Good,Good,0
45400,Orroroo/Carrieton (DC),45400,Orroroo/Carrieton (DC),1,Good,Good,0
45540,Peterborough (DC),45540,Peterborough (DC),1,Good,Good,0
45680,Playford (C),43650,Light (RegC),2.32E-05,Good,Good,1
45680,Playford (C),45680,Playford (C),0.9999768,Good,Good,0
45890,Port Adelaide Enfield (C),45890,Port Adelaide Enfield (C),1,Good,Good,0
46090,Port Augusta (C),46090,Port Augusta (C),1,Good,Good,0
46300,Port Lincoln (C),46300,Port Lincoln (C),1,Good,Good,0
46450,Port Pirie City and Dists (M),46450,Port Pirie City and Dists (M),1,Good,Good,0
46510,Prospect (C),46510,Prospect (C),1,Good,Good,0
46670,Renmark Paringa (DC),46670,Renmark Paringa (DC),1,Good,Good,0
46860,Robe (DC),46860,Robe (DC),1,Good,Good,0
46970,Roxby Downs (M),46970,Roxby Downs (M),1,Good,Good,0
47140,Salisbury (C),47140,Salisbury (C),1,Good,Good,0
47290,Southern Mallee (DC),47290,Southern Mallee (DC),1,Good,Good,0
47490,Streaky Bay (DC),47490,Streaky Bay (DC),1,Good,Good,0
47630,Tatiara (DC),47630,Tatiara (DC),1,Good,Good,0
47700,Tea Tree Gully (C),47700,Tea Tree Gully (C),1,Good,Good,0
47800,The Coorong (DC),47800,The Coorong (DC),0.9999987,Good,Good,0
47800,The Coorong (DC),49399,Unincorporated SA,1.30E-06,Good,Good,1
47910,Tumby Bay (DC),47910,Tumby Bay (DC),1,Good,Good,0
47980,Unley (C),47980,Unley (C),1,Good,Good,0
48050,Victor Harbor (C),48050,Victor Harbor (C),1,Good,Good,0
48130,Wakefield (DC),48130,Wakefield (DC),1,Good,Good,0
48260,Walkerville (M),48260,Walkerville (M),1,Good,Good,0
48340,Wattle Range (DC),42250,Grant (DC),3.00E-07,Good,Good,1
48340,Wattle Range (DC),48340,Wattle Range (DC),0.9999994,Good,Good,0
48340,Wattle Range (DC),,,3.00E-07,NA,Good,4
48410,West Torrens (C),48410,West Torrens (C),1,Good,Good,0
48540,Whyalla (C),48540,Whyalla (C),0.9999999,Good,Good,0
48540,Whyalla (C),49399,Unincorporated SA,1.00E-07,Good,Good,1
48640,Wudinna (DC),43220,Kimba (DC),0.0012091,Good,Good,1
48640,Wudinna (DC),48640,Wudinna (DC),0.9987901,Good,Good,0
48640,Wudinna (DC),49399,Unincorporated SA,8.00E-07,Good,Good,1
48750,Yankalilla (DC),48750,Yankalilla (DC),1,Good,Good,0
48830,Yorke Peninsula (DC),48830,Yorke Peninsula (DC),1,Good,Good,0
49399,Unincorporated SA,43220,Kimba (DC),0.001079,Good,Good,1
49399,Unincorporated SA,49399,Unincorporated SA,0.9989195,Good,Good,0
49399,Unincorporated SA,,,1.60E-06,NA,Good,4
50080,Albany (C),50080,Albany (C),1,Good,Good,0
50210,Armadale (C),50210,Armadale (C),1,Good,Good,0
50250,Ashburton (S),50250,Ashburton (S),0.9997998,Good,Good,0
50250,Ashburton (S),,,0.0002002,NA,Good,4
50280,Augusta-Margaret River (S),50280,Augusta-Margaret River (S),1,Good,Good,0
50350,Bassendean (T),50350,Bassendean (T),1,Good,Good,0
50420,Bayswater (C),50420,Bayswater (C),1,Good,Good,0
50490,Belmont (C),50490,Belmont (C),1,Good,Good,0
50560,Beverley (S),50560,Beverley (S),1,Good,Good,0
50630,Boddington (S),50630,Boddington (S),1,Good,Good,0
50770,Boyup Brook (S),50770,Boyup Brook (S),1,Good,Good,0
50840,Bridgetown-Greenbushes (S),50840,Bridgetown-Greenbushes (S),1,Good,Good,0
50910,Brookton (S),50910,Brookton (S),1,Good,Good,0
50980,Broome (S),50980,Broome (S),1,Good,Good,0
51080,Broomehill-Tambellup (S),51080,Broomehill-Tambellup (S),1,Good,Good,0
51120,Bruce Rock (S),51120,Bruce Rock (S),1,Good,Good,0
51190,Bunbury (C),51190,Bunbury (C),1,Good,Good,0
51260,Busselton (C),51260,Busselton (C),1,Good,Good,0
51310,Cambridge (T),51310,Cambridge (T),0.9972364,Good,Good,0
51310,Cambridge (T),57980,Subiaco (C),0.0027636,Acceptable,Good,1
51330,Canning (C),51330,Canning (C),1,Good,Good,0
51400,Capel (S),51400,Capel (S),1,Good,Good,0
51470,Carnamah (S),51470,Carnamah (S),1,Good,Good,0
51540,Carnarvon (S),51540,Carnarvon (S),1,Good,Good,0
51610,Chapman Valley (S),51610,Chapman Valley (S),1,Good,Good,0
51680,Chittering (S),51680,Chittering (S),1,Good,Good,0
51750,Claremont (T),51750,Claremont (T),1,Good,Good,0
51820,Cockburn (C),51820,Cockburn (C),0.9999665,Good,Good,0
51820,Cockburn (C),55320,Melville (C),3.35E-05,Good,Good,1
51890,Collie (S),51890,Collie (S),1,Good,Good,0
51960,Coolgardie (S),51960,Coolgardie (S),1,Good,Good,0
52030,Coorow (S),51470,Carnamah (S),9.00E-07,Good,Good,1
52030,Coorow (S),52030,Coorow (S),0.9999991,Good,Good,0
52100,Corrigin (S),52100,Corrigin (S),1,Good,Good,0
52170,Cottesloe (T),52170,Cottesloe (T),1,Good,Good,0
52240,Cranbrook (S),52240,Cranbrook (S),1,Good,Good,0
52310,Cuballing (S),52310,Cuballing (S),1,Good,Good,0
52380,Cue (S),52380,Cue (S),1,Good,Good,0
52450,Cunderdin (S),52450,Cunderdin (S),1,Good,Good,0
52520,Dalwallinu (S),52520,Dalwallinu (S),1,Good,Good,0
52590,Dandaragan (S),52590,Dandaragan (S),1,Good,Good,0
52660,Dardanup (S),52660,Dardanup (S),1,Good,Good,0
52730,Denmark (S),52730,Denmark (S),1,Good,Good,0
52800,Derby-West Kimberley (S),50980,Broome (S),4.40E-06,Good,Good,1
52800,Derby-West Kimberley (S),52800,Derby-West Kimberley (S),0.9999932,Good,Good,0
52800,Derby-West Kimberley (S),,,2.40E-06,NA,Good,4
52870,Donnybrook-Balingup (S),52870,Donnybrook-Balingup (S),1,Good,Good,0
52940,Dowerin (S),52940,Dowerin (S),1,Good,Good,0
53010,Dumbleyung (S),53010,Dumbleyung (S),0.9999983,Good,Good,0
53010,Dumbleyung (S),59100,Wickepin (S),1.70E-06,Good,Good,1
53080,Dundas (S),53080,Dundas (S),1,Good,Good,0
53150,East Fremantle (T),53150,East Fremantle (T),1,Good,Good,0
53220,East Pilbara (S),53220,East Pilbara (S),1,Good,Good,0
53290,Esperance (S),53290,Esperance (S),0.999998,Good,Good,0
53290,Esperance (S),,,2.00E-06,NA,Good,4
53360,Exmouth (S),53360,Exmouth (S),1,Good,Good,0
53430,Fremantle (C),53430,Fremantle (C),1,Good,Good,0
53570,Gingin (S),53570,Gingin (S),1,Good,Good,0
53640,Gnowangerup (S),53640,Gnowangerup (S),1,Good,Good,0
53710,Goomalling (S),53710,Goomalling (S),1,Good,Good,0
53780,Gosnells (C),53780,Gosnells (C),1,Good,Good,0
53800,Greater Geraldton (C),53800,Greater Geraldton (C),1,Good,Good,0
53920,Halls Creek (S),53920,Halls Creek (S),1,Good,Good,0
53990,Harvey (S),53990,Harvey (S),1,Good,Good,0
54060,Irwin (S),54060,Irwin (S),1,Good,Good,0
54130,Jerramungup (S),54130,Jerramungup (S),1,Good,Good,0
54170,Joondalup (C),54170,Joondalup (C),1,Good,Good,0
54200,Kalamunda (S),54200,Kalamunda (C),1,Good,Good,0
54280,Kalgoorlie/Boulder (C),54280,Kalgoorlie/Boulder (C),1,Good,Good,0
54310,Karratha (C),50250,Ashburton (S),1.90E-06,Good,Good,1
54310,Karratha (C),54310,Karratha (C),0.9999981,Good,Good,0
54340,Katanning (S),51080,Broomehill-Tambellup (S),0.0003735,Good,Good,1
54340,Katanning (S),54340,Katanning (S),0.9996265,Good,Good,0
54410,Kellerberrin (S),54410,Kellerberrin (S),1,Good,Good,0
54480,Kent (S),54480,Kent (S),1,Good,Good,0
54550,Kojonup (S),54550,Kojonup (S),1,Good,Good,0
54620,Kondinin (S),54620,Kondinin (S),1,Good,Good,0
54690,Koorda (S),54690,Koorda (S),1,Good,Good,0
54760,Kulin (S),54760,Kulin (S),1,Good,Good,0
54830,Kwinana (C),54830,Kwinana (C),1,Good,Good,0
54900,Lake Grace (S),54900,Lake Grace (S),1,Good,Good,0
54970,Laverton (S),54970,Laverton (S),1,Good,Good,0
55040,Leonora (S),55040,Leonora (S),1,Good,Good,0
55110,Mandurah (C),55110,Mandurah (C),0.9999999,Good,Good,0
55110,Mandurah (C),56230,Murray (S),1.00E-07,Good,Good,1
55180,Manjimup (S),55180,Manjimup (S),1,Good,Good,0
55250,Meekatharra (S),55250,Meekatharra (S),1,Good,Good,0
55320,Melville (C),55320,Melville (C),1,Good,Good,0
55390,Menzies (S),55390,Menzies (S),1,Good,Good,0
55460,Merredin (S),55460,Merredin (S),1,Good,Good,0
55530,Mingenew (S),55530,Mingenew (S),1,Good,Good,0
55600,Moora (S),55600,Moora (S),1,Good,Good,0
55670,Morawa (S),55670,Morawa (S),1,Good,Good,0
55740,Mosman Park (T),55740,Mosman Park (T),1,Good,Good,0
55810,Mount Magnet (S),55810,Mount Magnet (S),1,Good,Good,0
55880,Mount Marshall (S),55880,Mount Marshall (S),1,Good,Good,0
55950,Mukinbudin (S),55950,Mukinbudin (S),0.9978277,Good,Good,0
55950,Mukinbudin (S),56860,Nungarin (S),0.0021723,Good,Good,1
56090,Mundaring (S),56090,Mundaring (S),1,Good,Good,0
56160,Murchison (S),56160,Murchison (S),1,Good,Good,0
56230,Murray (S),56230,Murray (S),1,Good,Good,0
56300,Nannup (S),56300,Nannup (S),1,Good,Good,0
56370,Narembeen (S),56370,Narembeen (S),1,Good,Good,0
56450,Narrogin (S),56460,Narrogin (S),1,Good,Good,0
56520,Narrogin (T),56460,Narrogin (S),1,Good,Good,0
56580,Nedlands (C),56580,Nedlands (C),0.9950326,Good,Good,0
56580,Nedlands (C),57080,Perth (C),0.0049674,Acceptable,Good,1
56620,Ngaanyatjarraku (S),56620,Ngaanyatjarraku (S),1,Good,Good,0
56730,Northam (S),56730,Northam (S),1,Good,Good,0
56790,Northampton (S),53800,Greater Geraldton (C),0.0006547,Good,Good,1
56790,Northampton (S),56790,Northampton (S),0.9993453,Good,Good,0
56860,Nungarin (S),56860,Nungarin (S),1,Good,Good,0
56930,Peppermint Grove (S),56930,Peppermint Grove (S),1,Good,Good,0
57000,Perenjori (S),57000,Perenjori (S),1,Good,Good,0
57080,Perth (C),57080,Perth (C),1,Acceptable,Good,0
57140,Pingelly (S),57140,Pingelly (S),1,Good,Good,0
57210,Plantagenet (S),57210,Plantagenet (S),1,Good,Good,0
57280,Port Hedland (T),57280,Port Hedland (T),1,Good,Good,0
57350,Quairading (S),57350,Quairading (S),1,Good,Good,0
57420,Ravensthorpe (S),57420,Ravensthorpe (S),0.9999995,Good,Good,0
57420,Ravensthorpe (S),,,5.00E-07,NA,Good,4
57490,Rockingham (C),57490,Rockingham (C),1,Good,Good,0
57630,Sandstone (S),57630,Sandstone (S),1,Good,Good,0
57700,Serpentine-Jarrahdale (S),57700,Serpentine-Jarrahdale (S),1,Good,Good,0
57770,Shark Bay (S),51540,Carnarvon (S),5.80E-06,Good,Good,1
57770,Shark Bay (S),57770,Shark Bay (S),0.9999942,Good,Good,0
57840,South Perth (C),57840,South Perth (C),1,Good,Good,0
57910,Stirling (C),57910,Stirling (C),1,Good,Good,0
57980,Subiaco (C),57080,Perth (C),0.1607307,Acceptable,Good,0
57980,Subiaco (C),57980,Subiaco (C),0.8392693,Acceptable,Good,0
58050,Swan (C),50420,Bayswater (C),0.0129447,Good,Good,0
58050,Swan (C),50490,Belmont (C),0,Good,Good,1
58050,Swan (C),56090,Mundaring (S),0,Good,Good,1
58050,Swan (C),58050,Swan (C),0.9870553,Good,Good,0
58190,Tammin (S),58190,Tammin (S),1,Good,Good,0
58260,Three Springs (S),58260,Three Springs (S),1,Good,Good,0
58330,Toodyay (S),58330,Toodyay (S),1,Good,Good,0
58400,Trayning (S),58400,Trayning (S),1,Good,Good,0
58470,Upper Gascoyne (S),58470,Upper Gascoyne (S),1,Good,Good,0
58510,Victoria Park (T),58510,Victoria Park (T),1,Good,Good,0
58540,Victoria Plains (S),58540,Victoria Plains (S),1,Good,Good,0
58570,Vincent (C),58570,Vincent (C),1,Good,Good,0
58610,Wagin (S),58610,Wagin (S),1,Good,Good,0
58680,Wandering (S),58680,Wandering (S),1,Good,Good,0
58760,Wanneroo (C),58050,Swan (C),4.30E-06,Good,Good,1
58760,Wanneroo (C),58760,Wanneroo (C),0.9999957,Good,Good,0
58820,Waroona (S),58820,Waroona (S),1,Good,Good,0
58890,West Arthur (S),58890,West Arthur (S),1,Good,Good,0
59030,Westonia (S),59030,Westonia (S),1,Good,Good,0
59100,Wickepin (S),59100,Wickepin (S),1,Good,Good,0
59170,Williams (S),59170,Williams (S),1,Good,Good,0
59250,Wiluna (S),59250,Wiluna (S),1,Good,Good,0
59310,Wongan-Ballidu (S),59310,Wongan-Ballidu (S),1,Good,Good,0
59320,Woodanilling (S),59320,Woodanilling (S),1,Good,Good,0
59330,Wyalkatchem (S),59330,Wyalkatchem (S),1,Good,Good,0
59340,Wyndham-East Kimberley (S),59340,Wyndham-East Kimberley (S),0.9999826,Good,Good,0
59340,Wyndham-East Kimberley (S),,,1.74E-05,NA,Good,4
59350,Yalgoo (S),59350,Yalgoo (S),1,Good,Good,0
59360,Yilgarn (S),59360,Yilgarn (S),1,Good,Good,0
59370,York (S),59370,York (S),1,Good,Good,0
59399,Unincorporated WA,59399,Unincorporated WA,1,Good,Good,0
60210,Break O'Day (M),60210,Break O'Day (M),1,Good,Good,0
60410,Brighton (M),60410,Brighton (M),0.9999999,Good,Good,0
60410,Brighton (M),61510,Derwent Valley (M),1.00E-07,Good,Good,1
60610,Burnie (C),60610,Burnie (C),1,Good,Good,0
60810,Central Coast (M),60810,Central Coast (M) (Tas.),1,Good,Good,0
61010,Central Highlands (M),61010,Central Highlands (M) (Tas.),1,Good,Good,0
61210,Circular Head (M),61210,Circular Head (M),1,Good,Good,0
61410,Clarence (C),61410,Clarence (C),1,Good,Good,0
61510,Derwent Valley (M),61510,Derwent Valley (M),1,Good,Good,0
61610,Devonport (C),61610,Devonport (C),1,Good,Good,0
61810,Dorset (M),61810,Dorset (M),0.9999999,Good,Good,0
61810,Dorset (M),,,1.00E-07,NA,Good,4
62010,Flinders (M),62010,Flinders (M) (Tas.),1,Good,Good,0
62210,George Town (M),62210,George Town (M),1,Good,Good,0
62410,Glamorgan/Spring Bay (M),62410,Glamorgan/Spring Bay (M),1,Good,Good,0
62610,Glenorchy (C),62610,Glenorchy (C),1,Good,Good,0
62810,Hobart (C),62810,Hobart (C),1,Good,Good,0
63010,Huon Valley (M),63010,Huon Valley (M),1,Good,Good,0
63210,Kentish (M),63210,Kentish (M),1,Good,Good,0
63410,King Island (M),63410,King Island (M),0.9999713,Good,Good,0
63410,King Island (M),,,2.87E-05,NA,Good,4
63610,Kingborough (M),63610,Kingborough (M),1,Good,Good,0
63610,Kingborough (M),,,0,NA,Good,4
63810,Latrobe (M),63810,Latrobe (M) (Tas.),1,Good,Good,0
64010,Launceston (C),64010,Launceston (C),1,Good,Good,0
64210,Meander Valley (M),64210,Meander Valley (M),1,Good,Good,0
64610,Northern Midlands (M),64610,Northern Midlands (M),1,Good,Good,0
64810,Sorell (M),64810,Sorell (M),1,Good,Good,0
65010,Southern Midlands (M),65010,Southern Midlands (M),1,Good,Good,0
65210,Tasman (M),64810,Sorell (M),4.00E-07,Good,Good,1
65210,Tasman (M),65210,Tasman (M),0.9999996,Good,Good,0
65410,Waratah/Wynyard (M),65410,Waratah/Wynyard (M),1,Good,Good,0
65610,West Coast (M),65610,West Coast (M),1,Good,Good,0
65810,West Tamar (M),65810,West Tamar (M),1,Good,Good,0
69399,Unincorporated Tas,69399,Unincorporated Tas,1,Good,Good,0
70200,Alice Springs (T),70200,Alice Springs (T),1,Good,Good,0
70420,Barkly (R),70420,Barkly (R),1,Good,Good,0
70540,Belyuen (S),70540,Belyuen (S),1,Good,Good,0
70620,Central Desert (R),70620,Central Desert (R),1,Good,Good,0
70700,Coomalie (S),70700,Coomalie (S),1,Good,Good,0
71000,Darwin (C),71000,Darwin (C),1,Good,Good,0
71300,East Arnhem (R),71300,East Arnhem (R),0.9999999,Good,Good,0
71300,East Arnhem (R),,,1.00E-07,NA,Good,4
72200,Katherine (T),72200,Katherine (T),1,Good,Good,0
72300,Litchfield (M),72300,Litchfield (M),1,Good,Good,0
72330,MacDonnell (R),72330,MacDonnell (R),1,Good,Good,0
72800,Palmerston (C),72800,Palmerston (C),1,Good,Good,0
73600,Roper Gulf (R),73600,Roper Gulf (R),1,Good,Good,0
74050,Tiwi Islands (R),74050,Tiwi Islands (R),1,Good,Good,0
74550,Victoria Daly (R),74550,Victoria Daly (R),1,Good,Good,0
74560,Wagait (S),74560,Wagait (S),1,Good,Good,0
74660,West Arnhem (R),74660,West Arnhem (R),0.9999998,Good,Good,0
74660,West Arnhem (R),,,2.00E-07,NA,Good,4
74680,West Daly (R),74550,Victoria Daly (R),2.00E-07,Good,Good,1
74680,West Daly (R),74680,West Daly (R),0.9999998,Good,Good,0
79399,Unincorporated NT,71000,Darwin (C),0.0001197,Good,Good,1
79399,Unincorporated NT,74560,Wagait (S),1.00E-07,Good,Good,1
79399,Unincorporated NT,79399,Unincorporated NT,0.9998802,Good,Good,0
89399,Unincorporated ACT,89399,Unincorporated ACT,1,Good,Good,0
99399,Unincorp. Other Territories,99399,Unincorp. Other Territories,1,Good,Good,0
