sa3_name_2016,year,median_income
Queanbeyan,2010-11,51858
Snowy Mountains,2010-11,35884
South Coast,2010-11,30908
Goulburn - Mulwaree,2010-11,38269
Young - Yass,2010-11,39489
Gosford,2010-11,38189
Wyong,2010-11,37082
Bathurst,2010-11,40497
Lachlan Valley,2010-11,34752
Lithgow - Mudgee,2010-11,37354
Orange,2010-11,41241
Clarence Valley,2010-11,29412
Coffs Harbour,2010-11,31848
Bourke - Cobar - Coonamble,2010-11,38522
Broken Hill and Far West,2010-11,38238
Dubbo,2010-11,37539
Lower Hunter,2010-11,40819
Maitland,2010-11,43752
Port Stephens,2010-11,36084
Upper Hunter,2010-11,41976
Dapto - Port Kembla,2010-11,40112
Illawarra Catchment Reserve,2010-11,NA
Kiama - Shellharbour,2010-11,40022
Wollongong,2010-11,42062
Great Lakes,2010-11,28174
Kempsey - Nambucca,2010-11,28748
Lord Howe Island,2010-11,34037
Port Macquarie,2010-11,31857
Taree - Gloucester,2010-11,31331
Albury,2010-11,39127
Lower Murray,2010-11,33148
Upper Murray exc. Albury,2010-11,33284
Armidale,2010-11,34386
Inverell - Tenterfield,2010-11,29596
Moree - Narrabri,2010-11,38230
Tamworth - Gunnedah,2010-11,36897
Lake Macquarie - East,2010-11,41128
Lake Macquarie - West,2010-11,38973
Newcastle,2010-11,42666
Richmond Valley - Coastal,2010-11,30253
Richmond Valley - Hinterland,2010-11,32679
Tweed Valley,2010-11,32655
Griffith - Murrumbidgee (West),2010-11,36113
Tumut - Tumbarumba,2010-11,38441
Wagga Wagga,2010-11,39573
Shoalhaven,2010-11,32771
Southern Highlands,2010-11,35634
Baulkham Hills,2010-11,46633
Dural - Wisemans Ferry,2010-11,41994
Hawkesbury,2010-11,40563
Rouse Hill - McGraths Hill,2010-11,47511
Blacktown,2010-11,42546
Blacktown - North,2010-11,48959
Mount Druitt,2010-11,41746
Botany,2010-11,42936
Marrickville - Sydenham - Petersham,2010-11,46918
Sydney Inner City,2010-11,45040
Eastern Suburbs - North,2010-11,53916
Eastern Suburbs - South,2010-11,47825
Bankstown,2010-11,38303
Canterbury,2010-11,34664
Hurstville,2010-11,39889
Kogarah - Rockdale,2010-11,40063
Canada Bay,2010-11,50538
Leichhardt,2010-11,60313
Strathfield - Burwood - Ashfield,2010-11,40325
Chatswood - Lane Cove,2010-11,52437
Hornsby,2010-11,45245
Ku-ring-gai,2010-11,49719
North Sydney - Mosman,2010-11,61280
Manly,2010-11,49199
Pittwater,2010-11,43607
Warringah,2010-11,44687
Camden,2010-11,48158
Campbelltown (NSW),2010-11,42606
Wollondilly,2010-11,42807
Blue Mountains,2010-11,41231
Blue Mountains - South,2010-11,NA
Penrith,2010-11,45248
Richmond - Windsor,2010-11,41964
St Marys,2010-11,43195
Auburn,2010-11,34000
Carlingford,2010-11,40488
Merrylands - Guildford,2010-11,37714
Parramatta,2010-11,41793
Pennant Hills - Epping,2010-11,45042
Ryde - Hunters Hill,2010-11,44544
Bringelly - Green Valley,2010-11,40856
Fairfield,2010-11,37048
Liverpool,2010-11,43364
Cronulla - Miranda - Caringbah,2010-11,45579
Sutherland - Menai - Heathcote,2010-11,46252
Migratory - Offshore - Shipping (NSW),2010-11,NA
No usual address (NSW),2010-11,NA
Ballarat,2010-11,38689
Creswick - Daylesford - Ballan,2010-11,35409
Maryborough - Pyrenees,2010-11,30919
Bendigo,2010-11,37866
Heathcote - Castlemaine - Kyneton,2010-11,36015
Loddon - Elmore,2010-11,30328
Barwon - West,2010-11,38473
Geelong,2010-11,39445
Surf Coast - Bellarine Peninsula,2010-11,36856
Upper Goulburn Valley,2010-11,34705
Wangaratta - Benalla,2010-11,34880
Wodonga - Alpine,2010-11,37522
Baw Baw,2010-11,36963
Gippsland - East,2010-11,31719
Gippsland - South West,2010-11,33103
Latrobe Valley,2010-11,39818
Wellington,2010-11,36290
Brunswick - Coburg,2010-11,43362
Darebin - South,2010-11,46619
Essendon,2010-11,48285
Melbourne City,2010-11,44625
Port Phillip,2010-11,52862
Stonnington - West,2010-11,53796
Yarra,2010-11,50277
Boroondara,2010-11,49346
Manningham - West,2010-11,38775
Whitehorse - West,2010-11,39933
Bayside,2010-11,49637
Glen Eira,2010-11,44482
Kingston,2010-11,43571
Stonnington - East,2010-11,50000
Banyule,2010-11,44071
Darebin - North,2010-11,38652
Nillumbik - Kinglake,2010-11,44781
Whittlesea - Wallan,2010-11,40813
Keilor,2010-11,42957
Macedon Ranges,2010-11,42928
Moreland - North,2010-11,39175
Sunbury,2010-11,43886
Tullamarine - Broadmeadows,2010-11,38807
Knox,2010-11,41572
Manningham - East,2010-11,44121
Maroondah,2010-11,41719
Whitehorse - East,2010-11,41299
Yarra Ranges,2010-11,39329
Cardinia,2010-11,40606
Casey - North,2010-11,40843
Casey - South,2010-11,41446
Dandenong,2010-11,35691
Monash,2010-11,38253
Brimbank,2010-11,38038
Hobsons Bay,2010-11,45187
Maribyrnong,2010-11,42387
Melton - Bacchus Marsh,2010-11,43374
Wyndham,2010-11,44205
Frankston,2010-11,40235
Mornington Peninsula,2010-11,36827
Grampians,2010-11,35972
Mildura,2010-11,34474
Murray River - Swan Hill,2010-11,32462
Campaspe,2010-11,33419
Moira,2010-11,31731
Shepparton,2010-11,35447
Glenelg - Southern Grampians,2010-11,36904
Colac - Corangamite,2010-11,34495
Warrnambool,2010-11,37561
Migratory - Offshore - Shipping (Vic.),2010-11,NA
No usual address (Vic.),2010-11,NA
Capalaba,2010-11,43181
Cleveland - Stradbroke,2010-11,40351
Wynnum - Manly,2010-11,45472
Bald Hills - Everton Park,2010-11,45102
Chermside,2010-11,44698
Nundah,2010-11,44635
Sandgate,2010-11,43489
Carindale,2010-11,46640
Holland Park - Yeronga,2010-11,45647
Mt Gravatt,2010-11,39610
Nathan,2010-11,41274
Rocklea - Acacia Ridge,2010-11,41466
Sunnybank,2010-11,35031
Centenary,2010-11,47005
Kenmore - Brookfield - Moggill,2010-11,47131
Sherwood - Indooroopilly,2010-11,44271
The Gap - Enoggera,2010-11,46759
Brisbane Inner,2010-11,41026
Brisbane Inner - East,2010-11,50373
Brisbane Inner - North,2010-11,50438
Brisbane Inner - West,2010-11,48758
Cairns - North,2010-11,42036
Cairns - South,2010-11,39218
Innisfail - Cassowary Coast,2010-11,33283
Port Douglas - Daintree,2010-11,32657
Tablelands (East) - Kuranda,2010-11,32493
Darling Downs (West) - Maranoa,2010-11,36116
Darling Downs - East,2010-11,34213
Granite Belt,2010-11,29774
Central Highlands (Qld),2010-11,50146
Rockhampton,2010-11,42635
Biloela,2010-11,39997
Gladstone,2010-11,49388
Broadbeach - Burleigh,2010-11,36045
Coolangatta,2010-11,35298
Gold Coast - North,2010-11,35872
Gold Coast Hinterland,2010-11,34606
Mudgeeraba - Tallebudgera,2010-11,36732
Nerang,2010-11,37031
Ormeau - Oxenford,2010-11,40160
Robina,2010-11,35945
Southport,2010-11,34652
Surfers Paradise,2010-11,34173
Forest Lake - Oxley,2010-11,40530
Ipswich Hinterland,2010-11,35979
Ipswich Inner,2010-11,41992
Springfield - Redbank,2010-11,43373
Beaudesert,2010-11,35095
Beenleigh,2010-11,38193
Browns Plains,2010-11,40508
Jimboomba,2010-11,42405
Loganlea - Carbrook,2010-11,40886
Springwood - Kingston,2010-11,39536
Bowen Basin - North,2010-11,48460
Mackay,2010-11,48479
Whitsunday,2010-11,36546
Bribie - Beachmere,2010-11,31487
Caboolture,2010-11,36228
Caboolture Hinterland,2010-11,33491
Narangba - Burpengary,2010-11,39875
Redcliffe,2010-11,38805
The Hills District,2010-11,45966
North Lakes,2010-11,43967
Strathpine,2010-11,41810
Far North,2010-11,33265
Outback - North,2010-11,50708
Outback - South,2010-11,38243
Buderim,2010-11,35673
Caloundra,2010-11,34320
Maroochy,2010-11,34334
Noosa,2010-11,31525
Sunshine Coast Hinterland,2010-11,31770
Nambour,2010-11,34427
Noosa Hinterland,2010-11,31201
Toowoomba,2010-11,38668
Charters Towers - Ayr - Ingham,2010-11,38025
Townsville,2010-11,46123
Bundaberg,2010-11,33413
Burnett,2010-11,28907
Gympie - Cooloola,2010-11,30722
Hervey Bay,2010-11,31310
Maryborough,2010-11,34059
Migratory - Offshore - Shipping (Qld),2010-11,NA
No usual address (Qld),2010-11,NA
Adelaide City,2010-11,42335
Adelaide Hills,2010-11,41428
Burnside,2010-11,47878
Campbelltown (SA),2010-11,39285
Norwood - Payneham - St Peters,2010-11,43557
Prospect - Walkerville,2010-11,45693
Unley,2010-11,48213
Gawler - Two Wells,2010-11,40429
Playford,2010-11,38090
Port Adelaide - East,2010-11,39058
Salisbury,2010-11,39518
Tea Tree Gully,2010-11,42111
Holdfast Bay,2010-11,43836
Marion,2010-11,40708
Mitcham,2010-11,43533
Onkaparinga,2010-11,39346
Charles Sturt,2010-11,40333
Port Adelaide - West,2010-11,40635
West Torrens,2010-11,40056
Barossa,2010-11,39390
Lower North,2010-11,36309
Mid North,2010-11,37528
Yorke Peninsula,2010-11,33840
Eyre Peninsula and South West,2010-11,40927
Outback - North and East,2010-11,45372
Fleurieu - Kangaroo Island,2010-11,30848
Limestone Coast,2010-11,37138
Murray and Mallee,2010-11,33345
Migratory - Offshore - Shipping (SA),2010-11,NA
No usual address (SA),2010-11,NA
Augusta - Margaret River - Busselton,2010-11,35109
Bunbury,2010-11,43822
Manjimup,2010-11,33963
Mandurah,2010-11,39226
Cottesloe - Claremont,2010-11,54231
Perth City,2010-11,48560
Bayswater - Bassendean,2010-11,45045
Mundaring,2010-11,44691
Swan,2010-11,45068
Joondalup,2010-11,45609
Stirling,2010-11,45664
Wanneroo,2010-11,44274
Armadale,2010-11,44647
Belmont - Victoria Park,2010-11,45861
Canning,2010-11,41855
Gosnells,2010-11,43804
Kalamunda,2010-11,46128
Serpentine - Jarrahdale,2010-11,46561
South Perth,2010-11,49354
Cockburn,2010-11,47191
Fremantle,2010-11,46701
Kwinana,2010-11,45768
Melville,2010-11,45734
Rockingham,2010-11,46095
Albany,2010-11,34511
Wheat Belt - North,2010-11,37343
Wheat Belt - South,2010-11,35241
Kimberley,2010-11,45723
East Pilbara,2010-11,69071
West Pilbara,2010-11,73360
Esperance,2010-11,38665
Gascoyne,2010-11,39967
Goldfields,2010-11,55299
Mid West,2010-11,42344
Migratory - Offshore - Shipping (WA),2010-11,NA
No usual address (WA),2010-11,NA
Brighton,2010-11,38102
Hobart - North East,2010-11,40810
Hobart - North West,2010-11,38284
Hobart - South and West,2010-11,40740
Hobart Inner,2010-11,42053
Sorell - Dodges Ferry,2010-11,37679
Launceston,2010-11,38333
Meander Valley - West Tamar,2010-11,34450
North East,2010-11,34698
Central Highlands (Tas.),2010-11,34975
Huon - Bruny Island,2010-11,32488
South East Coast,2010-11,28110
Burnie - Ulverstone,2010-11,36912
Devonport,2010-11,35998
West Coast,2010-11,38240
Migratory - Offshore - Shipping (Tas.),2010-11,NA
No usual address (Tas.),2010-11,NA
Darwin City,2010-11,49335
Darwin Suburbs,2010-11,49958
Litchfield,2010-11,50365
Palmerston,2010-11,52286
Alice Springs,2010-11,46027
Barkly,2010-11,43069
Daly - Tiwi - West Arnhem,2010-11,35687
East Arnhem,2010-11,53190
Katherine,2010-11,47237
Migratory - Offshore - Shipping (NT),2010-11,NA
No usual address (NT),2010-11,NA
Belconnen,2010-11,51674
Canberra East,2010-11,44415
Gungahlin,2010-11,56514
North Canberra,2010-11,53295
South Canberra,2010-11,65317
Tuggeranong,2010-11,54003
Weston Creek,2010-11,54899
Woden Valley,2010-11,55539
Molonglo,2010-11,NA
Urriarra - Namadgi,2010-11,50845
Migratory - Offshore - Shipping (ACT),2010-11,NA
No usual address (ACT),2010-11,NA
Christmas Island,2010-11,66639
Cocos (Keeling) Islands,2010-11,45653
Jervis Bay,2010-11,45295
Norfolk Island,2010-11,12004
Migratory - Offshore - Shipping (OT),2010-11,NA
No usual address (OT),2010-11,NA
Queanbeyan,2011-12,54299
Snowy Mountains,2011-12,37863
South Coast,2011-12,32356
Goulburn - Mulwaree,2011-12,39644
Young - Yass,2011-12,40857
Gosford,2011-12,40077
Wyong,2011-12,39195
Bathurst,2011-12,42997
Lachlan Valley,2011-12,35428
Lithgow - Mudgee,2011-12,39486
Orange,2011-12,44112
Clarence Valley,2011-12,30579
Coffs Harbour,2011-12,33806
Bourke - Cobar - Coonamble,2011-12,38479
Broken Hill and Far West,2011-12,41859
Dubbo,2011-12,39255
Lower Hunter,2011-12,43672
Maitland,2011-12,46572
Port Stephens,2011-12,38776
Upper Hunter,2011-12,44705
Dapto - Port Kembla,2011-12,41954
Illawarra Catchment Reserve,2011-12,NA
Kiama - Shellharbour,2011-12,42124
Wollongong,2011-12,44115
Great Lakes,2011-12,29393
Kempsey - Nambucca,2011-12,30526
Lord Howe Island,2011-12,33717
Port Macquarie,2011-12,33739
Taree - Gloucester,2011-12,33146
Albury,2011-12,40670
Lower Murray,2011-12,35827
Upper Murray exc. Albury,2011-12,35021
Armidale,2011-12,36007
Inverell - Tenterfield,2011-12,31751
Moree - Narrabri,2011-12,40492
Tamworth - Gunnedah,2011-12,38563
Lake Macquarie - East,2011-12,43696
Lake Macquarie - West,2011-12,41517
Newcastle,2011-12,45177
Richmond Valley - Coastal,2011-12,31842
Richmond Valley - Hinterland,2011-12,34539
Tweed Valley,2011-12,34256
Griffith - Murrumbidgee (West),2011-12,37250
Tumut - Tumbarumba,2011-12,39905
Wagga Wagga,2011-12,40797
Shoalhaven,2011-12,34402
Southern Highlands,2011-12,37657
Baulkham Hills,2011-12,48866
Dural - Wisemans Ferry,2011-12,43724
Hawkesbury,2011-12,42768
Rouse Hill - McGraths Hill,2011-12,49429
Blacktown,2011-12,44347
Blacktown - North,2011-12,51260
Mount Druitt,2011-12,43643
Botany,2011-12,44740
Marrickville - Sydenham - Petersham,2011-12,49391
Sydney Inner City,2011-12,47079
Eastern Suburbs - North,2011-12,56481
Eastern Suburbs - South,2011-12,50501
Bankstown,2011-12,40000
Canterbury,2011-12,36312
Hurstville,2011-12,41562
Kogarah - Rockdale,2011-12,42319
Canada Bay,2011-12,52626
Leichhardt,2011-12,62753
Strathfield - Burwood - Ashfield,2011-12,42566
Chatswood - Lane Cove,2011-12,55405
Hornsby,2011-12,47380
Ku-ring-gai,2011-12,52179
North Sydney - Mosman,2011-12,63811
Manly,2011-12,50482
Pittwater,2011-12,45004
Warringah,2011-12,47097
Camden,2011-12,50606
Campbelltown (NSW),2011-12,44348
Wollondilly,2011-12,44694
Blue Mountains,2011-12,43331
Blue Mountains - South,2011-12,NA
Penrith,2011-12,47249
Richmond - Windsor,2011-12,43774
St Marys,2011-12,45361
Auburn,2011-12,35756
Carlingford,2011-12,41863
Merrylands - Guildford,2011-12,39517
Parramatta,2011-12,44248
Pennant Hills - Epping,2011-12,47187
Ryde - Hunters Hill,2011-12,46702
Bringelly - Green Valley,2011-12,42770
Fairfield,2011-12,38657
Liverpool,2011-12,45133
Cronulla - Miranda - Caringbah,2011-12,47927
Sutherland - Menai - Heathcote,2011-12,48507
Migratory - Offshore - Shipping (NSW),2011-12,NA
No usual address (NSW),2011-12,NA
Ballarat,2011-12,40321
Creswick - Daylesford - Ballan,2011-12,37000
Maryborough - Pyrenees,2011-12,32586
Bendigo,2011-12,39791
Heathcote - Castlemaine - Kyneton,2011-12,37647
Loddon - Elmore,2011-12,32246
Barwon - West,2011-12,40350
Geelong,2011-12,41398
Surf Coast - Bellarine Peninsula,2011-12,38742
Upper Goulburn Valley,2011-12,36154
Wangaratta - Benalla,2011-12,36643
Wodonga - Alpine,2011-12,39166
Baw Baw,2011-12,38089
Gippsland - East,2011-12,33033
Gippsland - South West,2011-12,34178
Latrobe Valley,2011-12,41458
Wellington,2011-12,38273
Brunswick - Coburg,2011-12,45611
Darebin - South,2011-12,48870
Essendon,2011-12,50676
Melbourne City,2011-12,45922
Port Phillip,2011-12,55255
Stonnington - West,2011-12,56007
Yarra,2011-12,52794
Boroondara,2011-12,51550
Manningham - West,2011-12,40169
Whitehorse - West,2011-12,41675
Bayside,2011-12,52228
Glen Eira,2011-12,46852
Kingston,2011-12,45465
Stonnington - East,2011-12,53152
Banyule,2011-12,46040
Darebin - North,2011-12,40411
Nillumbik - Kinglake,2011-12,46540
Whittlesea - Wallan,2011-12,42514
Keilor,2011-12,45158
Macedon Ranges,2011-12,44845
Moreland - North,2011-12,41001
Sunbury,2011-12,45546
Tullamarine - Broadmeadows,2011-12,40314
Knox,2011-12,43102
Manningham - East,2011-12,46137
Maroondah,2011-12,43510
Whitehorse - East,2011-12,42348
Yarra Ranges,2011-12,41235
Cardinia,2011-12,42234
Casey - North,2011-12,42450
Casey - South,2011-12,42888
Dandenong,2011-12,37168
Monash,2011-12,40189
Brimbank,2011-12,39652
Hobsons Bay,2011-12,47465
Maribyrnong,2011-12,44891
Melton - Bacchus Marsh,2011-12,45001
Wyndham,2011-12,45633
Frankston,2011-12,41874
Mornington Peninsula,2011-12,38348
Grampians,2011-12,37114
Mildura,2011-12,36473
Murray River - Swan Hill,2011-12,35171
Campaspe,2011-12,35792
Moira,2011-12,34222
Shepparton,2011-12,37369
Glenelg - Southern Grampians,2011-12,38072
Colac - Corangamite,2011-12,35754
Warrnambool,2011-12,38662
Migratory - Offshore - Shipping (Vic.),2011-12,NA
No usual address (Vic.),2011-12,NA
Capalaba,2011-12,45554
Cleveland - Stradbroke,2011-12,43155
Wynnum - Manly,2011-12,48309
Bald Hills - Everton Park,2011-12,47976
Chermside,2011-12,47750
Nundah,2011-12,47634
Sandgate,2011-12,45694
Carindale,2011-12,49897
Holland Park - Yeronga,2011-12,48954
Mt Gravatt,2011-12,42125
Nathan,2011-12,43607
Rocklea - Acacia Ridge,2011-12,43305
Sunnybank,2011-12,36499
Centenary,2011-12,48900
Kenmore - Brookfield - Moggill,2011-12,51040
Sherwood - Indooroopilly,2011-12,47694
The Gap - Enoggera,2011-12,48726
Brisbane Inner,2011-12,44412
Brisbane Inner - East,2011-12,54660
Brisbane Inner - North,2011-12,54289
Brisbane Inner - West,2011-12,53095
Cairns - North,2011-12,45024
Cairns - South,2011-12,41330
Innisfail - Cassowary Coast,2011-12,34743
Port Douglas - Daintree,2011-12,34205
Tablelands (East) - Kuranda,2011-12,34848
Darling Downs (West) - Maranoa,2011-12,39959
Darling Downs - East,2011-12,37747
Granite Belt,2011-12,31569
Central Highlands (Qld),2011-12,53851
Rockhampton,2011-12,46472
Biloela,2011-12,44094
Gladstone,2011-12,56537
Broadbeach - Burleigh,2011-12,38530
Coolangatta,2011-12,37601
Gold Coast - North,2011-12,37793
Gold Coast Hinterland,2011-12,36991
Mudgeeraba - Tallebudgera,2011-12,39264
Nerang,2011-12,39036
Ormeau - Oxenford,2011-12,42544
Robina,2011-12,37598
Southport,2011-12,36522
Surfers Paradise,2011-12,36315
Forest Lake - Oxley,2011-12,43033
Ipswich Hinterland,2011-12,38368
Ipswich Inner,2011-12,44116
Springfield - Redbank,2011-12,45718
Beaudesert,2011-12,37019
Beenleigh,2011-12,40360
Browns Plains,2011-12,42645
Jimboomba,2011-12,45228
Loganlea - Carbrook,2011-12,43169
Springwood - Kingston,2011-12,41783
Bowen Basin - North,2011-12,53000
Mackay,2011-12,52359
Whitsunday,2011-12,40434
Bribie - Beachmere,2011-12,33643
Caboolture,2011-12,37963
Caboolture Hinterland,2011-12,35840
Narangba - Burpengary,2011-12,42056
Redcliffe,2011-12,41042
The Hills District,2011-12,48720
North Lakes,2011-12,46273
Strathpine,2011-12,43751
Far North,2011-12,35408
Outback - North,2011-12,54540
Outback - South,2011-12,40630
Buderim,2011-12,38058
Caloundra,2011-12,36966
Maroochy,2011-12,36752
Noosa,2011-12,34285
Sunshine Coast Hinterland,2011-12,34259
Nambour,2011-12,37164
Noosa Hinterland,2011-12,33173
Toowoomba,2011-12,41329
Charters Towers - Ayr - Ingham,2011-12,42069
Townsville,2011-12,48552
Bundaberg,2011-12,36014
Burnett,2011-12,31500
Gympie - Cooloola,2011-12,33035
Hervey Bay,2011-12,34184
Maryborough,2011-12,36295
Migratory - Offshore - Shipping (Qld),2011-12,NA
No usual address (Qld),2011-12,NA
Adelaide City,2011-12,44714
Adelaide Hills,2011-12,43407
Burnside,2011-12,50184
Campbelltown (SA),2011-12,41109
Norwood - Payneham - St Peters,2011-12,46349
Prospect - Walkerville,2011-12,48060
Unley,2011-12,50620
Gawler - Two Wells,2011-12,42346
Playford,2011-12,40144
Port Adelaide - East,2011-12,41008
Salisbury,2011-12,41269
Tea Tree Gully,2011-12,44080
Holdfast Bay,2011-12,46082
Marion,2011-12,42329
Mitcham,2011-12,45745
Onkaparinga,2011-12,40912
Charles Sturt,2011-12,42022
Port Adelaide - West,2011-12,42718
West Torrens,2011-12,42249
Barossa,2011-12,41424
Lower North,2011-12,37472
Mid North,2011-12,38595
Yorke Peninsula,2011-12,35471
Eyre Peninsula and South West,2011-12,43538
Outback - North and East,2011-12,49973
Fleurieu - Kangaroo Island,2011-12,32461
Limestone Coast,2011-12,38695
Murray and Mallee,2011-12,34833
Migratory - Offshore - Shipping (SA),2011-12,NA
No usual address (SA),2011-12,NA
Augusta - Margaret River - Busselton,2011-12,37376
Bunbury,2011-12,47116
Manjimup,2011-12,36126
Mandurah,2011-12,43097
Cottesloe - Claremont,2011-12,59356
Perth City,2011-12,53493
Bayswater - Bassendean,2011-12,48076
Mundaring,2011-12,48639
Swan,2011-12,48178
Joondalup,2011-12,49072
Stirling,2011-12,49119
Wanneroo,2011-12,47288
Armadale,2011-12,48044
Belmont - Victoria Park,2011-12,49144
Canning,2011-12,44655
Gosnells,2011-12,46680
Kalamunda,2011-12,50061
Serpentine - Jarrahdale,2011-12,51986
South Perth,2011-12,53325
Cockburn,2011-12,50703
Fremantle,2011-12,50110
Kwinana,2011-12,49140
Melville,2011-12,49521
Rockingham,2011-12,50067
Albany,2011-12,36924
Wheat Belt - North,2011-12,39981
Wheat Belt - South,2011-12,39320
Kimberley,2011-12,49709
East Pilbara,2011-12,74115
West Pilbara,2011-12,78558
Esperance,2011-12,40619
Gascoyne,2011-12,43621
Goldfields,2011-12,59946
Mid West,2011-12,45818
Migratory - Offshore - Shipping (WA),2011-12,NA
No usual address (WA),2011-12,NA
Brighton,2011-12,40089
Hobart - North East,2011-12,42257
Hobart - North West,2011-12,39520
Hobart - South and West,2011-12,42763
Hobart Inner,2011-12,43629
Sorell - Dodges Ferry,2011-12,39101
Launceston,2011-12,39649
Meander Valley - West Tamar,2011-12,36111
North East,2011-12,36042
Central Highlands (Tas.),2011-12,36291
Huon - Bruny Island,2011-12,33897
South East Coast,2011-12,29385
Burnie - Ulverstone,2011-12,38384
Devonport,2011-12,37312
West Coast,2011-12,39962
Migratory - Offshore - Shipping (Tas.),2011-12,NA
No usual address (Tas.),2011-12,NA
Darwin City,2011-12,52562
Darwin Suburbs,2011-12,52930
Litchfield,2011-12,54087
Palmerston,2011-12,56774
Alice Springs,2011-12,47557
Barkly,2011-12,45926
Daly - Tiwi - West Arnhem,2011-12,39230
East Arnhem,2011-12,58890
Katherine,2011-12,49244
Migratory - Offshore - Shipping (NT),2011-12,NA
No usual address (NT),2011-12,NA
Belconnen,2011-12,53998
Canberra East,2011-12,47008
Gungahlin,2011-12,59266
North Canberra,2011-12,56403
South Canberra,2011-12,67726
Tuggeranong,2011-12,56459
Weston Creek,2011-12,57233
Woden Valley,2011-12,57903
Molonglo,2011-12,60582
Urriarra - Namadgi,2011-12,51411
Migratory - Offshore - Shipping (ACT),2011-12,NA
No usual address (ACT),2011-12,NA
Christmas Island,2011-12,71902
Cocos (Keeling) Islands,2011-12,41877
Jervis Bay,2011-12,37742
Norfolk Island,2011-12,14032
Migratory - Offshore - Shipping (OT),2011-12,NA
